"ID","NAME","UNIQUE_CHEWY_ID__C"
"0018W00001pBAzsQAG","Close to Home Veterinary Services","80171966"
"0018W00001pBB15QAG","Cape Cod Cat Hospital","111395"
"0018W00001oeJkYQAU","Apple Country Animal Hospital","26625"
"0018W00001kTVxQQAW","On Trac Veterinary Care, Llc","68918817"
"0018W00001pmoKPQAY","Pet Crossing Animal Hospital","52808"
"0018W00001pmfqfQAA","Kleinbrook Animal Hospital","88096"
"0018W00001kUMg8QAG","Hendersonville Veterinary Hospital","38429"
"0018W00001oe9t4QAA","Albritton Home Veterinary Care","68999143"
"0018W00001mgYdkQAE","Ardmore Animal Hospital","4292"
"0018W00001m6nUsQAI","Young Hickory Veterinary Clinic, PLLC","82111684"
"0018W00001nATADQA4","North Carrollton Veterinary Hospital","83641251"
"0018W00001m3xPiQAI","Anthony Veterinary Clinic - Anthony","104587"
"0018W00001nBTb4QAG","Vashon 4 Paws Veterinary Clinic","67110145"
"0018W00001nBnRaQAK","Sypulski Mobile Veterinary Services","76422509"
"0018W00001lQUf1QAG","Maine Mobile Veterinary Services","56086244"
"0018W00001nAOa7QAG","Century Animal Hospital","4354"
"0018W00001m6oVLQAY","Adoption First Veterinary Clinic","92954667"
"0018W00001mgYklQAE","Wissahickon Creek Veterinary Hosp","58610"
"0018W00001uhdtfQAA","Veterinary Urgent Care- Oceanside","100467194"
"0018W00001kUeojQAC","Mobile Animal Rehab Therapy Acupuncture","87922441"
