"ID","NAME","ONBOARDING_OPPORTUNITY__C","STAGENAME","CLOSEDATE","ACCOUNTID"
"0068W00000TSFu8QAH","On Trac Veterinary Care, Llc - PH Opportunity","true","Closed Won","2022-06-30","0018W00001kTVxQQAW"
"0068W00000TSMy5QAH","Hendersonville Veterinary Hospital - PH Opportunity","true","Stalled","2022-06-30","0018W00001kUMg8QAG"
"0068W00000TSRQlQAP","Mobile Animal Rehab Therapy Acupuncture - PH Opportunity","true","Closed Won","2022-05-09","0018W00001kUeojQAC"
"0068W00000TTH6qQAH","MAINE MOBILE VETERINARY SERVICES - PH Opportunity","true","Stalled","2022-06-30","0018W00001lQUf1QAG"
"0068W00000TTRqSQAX","Anthony Veterinary Clinic - Anthony - PH Opportunity","true","Closed Won","2022-05-09","0018W00001m3xPiQAI"
"0068W00000TTr8vQAD","Young Hickory Veterinary Clinic, PLLC - PH Opportunity","true","Stalled","2022-06-30","0018W00001m6nUsQAI"
"0068W00000TTrg2QAD","Adoption First Veterinary Clinic - PH Opportunity","true","Closed Won","2022-06-13","0018W00001m6oVLQAY"
"0068W00000Ulz8bQAB","ARDMORE ANIMAL HOSPITAL - PH Opportunity","true","Unqualified","2022-06-30","0018W00001mgYdkQAE"
"0068W00000UlzBfQAJ","WISSAHICKON CREEK VETERINARY HOSP - PH Opportunity","true","Closed Won","2022-06-13","0018W00001mgYklQAE"
"0068W00000UmMNxQAN","Century Animal Hospital - PH Opportunity","true","Stalled","2022-06-30","0018W00001nAOa7QAG"
"0068W00000UmNRlQAN","North Carrollton Veterinary Hospital - PH Opportunity","true","Stalled","2022-06-30","0018W00001nATADQA4"
"0068W00000UmSaPQAV","VASHON 4 PAWS VETERINARY CLINIC - PH Opportunity","true","Closed Won","2022-06-07","0018W00001nBTb4QAG"
"0068W00000UmWHSQA3","SYPULSKI MOBILE VETERINARY SERVICES - PH Opportunity","true","Stalled","2022-06-30","0018W00001nBnRaQAK"
"0068W00000UoQTtQAN","ALBRITTON HOME VETERINARY CARE - PH Opportunity","true","Stalled","2022-06-30","0018W00001oe9t4QAA"
"0068W00000UpJYtQAN","Apple Country Animal Hospital - PH Opportunity","true","Closed Won","2022-06-20","0018W00001oeJkYQAU"
"0068W00000Upt5yQAB","Close to Home Veterinary Services - PH Opportunity","true","Closed Won","2022-06-27","0018W00001pBAzsQAG"
"0068W00000Upt6XQAR","Cape Cod Cat Hospital - PH Opportunity","true","Stalled","2022-06-30","0018W00001pBB15QAG"
"0068W00000VNyNGQA1","Kleinbrook Animal Hospital - PH Opportunity","true","Stalled","2022-06-30","0018W00001pmfqfQAA"
"0068W00000VNzgrQAD","Pet Crossing Animal Hospital - PH Opportunity","true","Closed Won","2022-06-30","0018W00001pmoKPQAY"
"0068W00000Vx8F8QAJ","Veterinary Urgent Care- Oceanside - PH Opportunity","true","Discovery","2022-09-30","0018W00001uhdtfQAA"
